ADD/CHG/DEL/WDR;Unique UN Assigned ID; ABIE/ BBIE/ ASBIE/ACC/BCC/ASCC/DT/CC/SC;Dictionary Entry Name (auto generated);Definition Mandatory;Working comments and instructions;Publication comments;Object Class Term Qualifier(s);Object Class Term;Property Term Qualifier(s);Property Term;Datatype Qualifier(s);Representation Term;Qualified Data Type UID;Associated Object Class Term Qualifier(s);Associated Object Class;Business Term(s);Usage Rule(s);Sequence Number;Occurrence Min;Occurrence Max;Context Categories Mandatory for BIE's;;;;;;;;;;;;;;;;;;;;;;;;Facets To restrict the set of values of Content Component or Supplementary Components;;;;;;;;;;;;;
ADD;UN01002683;BBIE;Agricultural Process_ Condition. Subordinate_ Type. Code;The code specifying the subordinate type for this agricultural process condition, such as wind, rain or snow.;;;Agricultural Process;Condition;Subordinate;Type;;Code;;;;;;;0;1;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002684;BBIE;Agricultural Process_ Condition. Value. Measure;The measure of a value for this agricultural process condition.;;;Agricultural Process;Condition;;Value;;Measure;;;;;;;0;1;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002723;ABIE;Agricultural Process_ Crop Input. Details;An organic or inorganic substance supporting an agricultural process, applied to soil or crop to improve crop quality.;;;Agricultural Process;Crop Input;;;;;;;;;;;;;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002724;BBIE;Agricultural Process_ Crop Input. Identification. Identifier;The unique identifier for this agricultural process crop input.;;;Agricultural Process;Crop Input;;Identification;;Identifier;;;;;;;1;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002725;BBIE;Agricultural Process_ Crop Input. Type. Code;The code specifying the type of agricultural process crop input.;;;Agricultural Process;Crop Input;;Type;;Code;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002726;BBIE;Agricultural Process_ Crop Input. Description. Text;The textual description of this agricultural process crop input.;;;Agricultural Process;Crop Input;;Description;;Text;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002727;BBIE;Agricultural Process_ Crop Input. Subordinate_ Type. Code;The code specifying the subordinate type for this agricultural process crop input.;;;Agricultural Process;Crop Input;Subordinate;Type;;Code;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002728;BBIE;Agricultural Process_ Crop Input. Weight. Measure;The measure of the weight (mass) of this agricultural process crop input.;;;Agricultural Process;Crop Input;;Weight;;Measure;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002729;BBIE;Agricultural Process_ Crop Input. Volume. Measure;The measure of the volume of this agricultural process crop input.;;;Agricultural Process;Crop Input;;Volume;;Measure;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002730;BBIE;Agricultural Process_ Crop Input. Expected_ Volume. Measure;The measure of the expected volume of this agricultural process crop input.;;;Agricultural Process;Crop Input;Expected;Volume;;Measure;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002731;BBIE;Agricultural Process_ Crop Input. Applied Surface Unit_ Volume. Measure;The measure of the applied per surface unit volume of this agricultural process crop input.;;;Agricultural Process;Crop Input;Applied Surface Unit;Volume;;Measure;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002732;ASBIE;Agricultural Process_ Crop Input. Specified. Crop Input_ Batch;A crop input batch specified for this agricultural process crop input.;;;Agricultural Process;Crop Input;;Specified;;;;Crop Input;Batch;;;;0;unbounded;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002733;ASBIE;Agricultural Process_ Crop Input. Component. Crop Input_ Chemical;A crop input chemical, such as a mineral element, which is a component of this agricultural process crop input.;;;Agricultural Process;Crop Input;;Component;;;;Crop Input;Chemical;;;;0;unbounded;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002734;ASBIE;Agricultural Process_ Crop Input. Applicable. Technical_ Characteristic;A technical characteristic applicable to this agricultural process crop input.;;;Agricultural Process;Crop Input;;Applicable;;;;Technical;Characteristic;;;;0;unbounded;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002735;ASBIE;Agricultural Process_ Crop Input. Supplier. Crop Data Sheet_ Party;The crop data sheet party that supplies this agricultural process crop input.;;;Agricultural Process;Crop Input;;Supplier;;;;Crop Data Sheet;Party;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002695;ABIE;Agricultural Process_ Crop Stage. Details;A point or step in a process or development of a crop in an agricultural process.;;;Agricultural Process;Crop Stage;;;;;;;;;;;;;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002696;BBIE;Agricultural Process_ Crop Stage. Type. Code;The code specifying the type of agricultural process crop stage.;;;Agricultural Process;Crop Stage;;Type;;Code;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002697;BBIE;Agricultural Process_ Crop Stage. Subordinate_ Type. Code;The code specifying the subordinate type for this agricultural process crop stage, such as phenological growth stage.;;;Agricultural Process;Crop Stage;Subordinate;Type;;Code;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002698;BBIE;Agricultural Process_ Crop Stage. Description. Text;The textual description of this agricultural process crop stage.;;;Agricultural Process;Crop Stage;;Description;;Text;;;;;;;0;1;Crop Data Sheet;;;Arable crop;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002741;ABIE;Agricultural Process_ Reason. Details;A motive, cause or justification for an agricultural process.;;;Agricultural Process;Reason;;;;;;;;;;;;;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002742;BBIE;Agricultural Process_ Reason. Type. Code;The code specifying the type of agricultural process reason.;;;Agricultural Process;Reason;;Type;;Code;;;;;;;0;1;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002743;BBIE;Agricultural Process_ Reason. Subordinate_ Type. Code;The code specifying the subordinate type for this agricultural process reason, such as technical advices, analysis results, plant diseases or pests.;;;Agricultural Process;Reason;Subordinate;Type;;Code;;;;;;;0;1;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
ADD;UN01002744;BBIE;Agricultural Process_ Reason. Detail_ Type. Code;The code specifying the detail type for this agricultural process reason.;;;Agricultural Process;Reason;Detail;Type;;Code;;;;;;;0;1;Agricultural;;;Agricultural Produce;;;Agricultural;;;Global;;;European, National, Local Regulations;;;In All Contexts;;;In All Contexts;;;In All Contexts;;;;;;;;;;;;;;;;
